HS_size,HS_Head,house_type,wallMaterial,floor_status,waterSupplyRating,securityConsideration,entryRestrictions,insecurityReports,conduciveEnvironment,distanceTown,amenities.schools,amenities.tertiaryEducation,amenities.healthCenters,amenities.socialHalls,amenities.tradeCenters,amenities.worshipCenters,amenities.other,roadState,Which_means_of_transport_do_you_use,employmentStatus,HS_expenditure,jointIncome,rentPrice,currentIssues.currentIssues_header,currentIssues.State_of_the_economy_nd_employment_market,currentIssues.Food_Security_and_nutrition,currentIssues.Affordable_housing,currentIssues.Access_to_affordable_healthcare,homeOwnershipAspire,NGActions,countyActions,enoughtHousing,stayLength,expectMove,expectMove_HS,supportAHProject
2,male,bedsitter,stone,tiled,6,yes,yes,no,5,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,verySerious,fairlySerious,somewhatProblem,verySerious,yes,doMore,doingNothing,no,7,no,moreThree,yes
1,male,bedsitter,stone,tiled,6,yes,yes,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,verySerious,fairlySerious,fairlySerious,fairlySerious,yes,doMore,doMore,no,15,no,moreThree,yes
2,male,bedsitter,stone,tiled,6,yes,yes,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,verySerious,somewhatProblem,verySerious,fairlySerious,yes,doMore,doingNothing,no,1,no,twoThreeYrs,yes
3,female,bedsitter,stone,tiled,6,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,fairlySerious,fairlySerious,verySerious,verySerious,yes,doMore,doingNothing,no,6,no,twoThreeYrs,yes
2,male,bedsitter,stone,tiled,5,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,fairlySerious,fairlySerious,fairlySerious,fairlySerious,yes,doMore,doMore,notSure,6,no,twoThreeYrs,yes
1,female,bedsitter,stone,tiled,5,yes,yes,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,6500,n/a,somewhatProblem,fairlySerious,somewhatProblem,verySerious,undecided,doMore,doingNothing,no,5,no,twoThreeYrs,yes
1,male,bedsitter,stone,tiled,6,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,6500,n/a,verySerious,verySerious,verySerious,verySerious,yes,doMore,doMore,no,8,yes,twoThreeYrs,yes
3,female,bedsitter,stone,tiled,6,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,somewhatProblem,fairlySerious,fairlySerious,somewhatProblem,yes,doMore,doingNothing,no,18,notSure,moreThree,maybe
1,male,bedsitter,stone,tiled,5,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,fairlySerious,fairlySerious,verySerious,fairlySerious,undecided,doingNothing,doingNothing,notSure,10,no,twoThreeYrs,maybe
2,female,bedsitter,stone,tiled,6,yes,yes,no,8,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,6500,n/a,somewhatProblem,fairlySerious,somewhatProblem,fairlySerious,yes,doMore,doMore,no,8,notSure,moreThree,yes
